address,name,rubrics,attributes,address.postcode,lat,lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address_comment,city,rubrics_new,district,postcode_3
Скандинавский бульвар,"Samovar CraftBar, бар крафтового пива","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'razlivnoe_pivo', 'id': '19290', 'kind': 'additional', 'name': 'Разливное пиво', 'parent_id': '14', 'short_id': 19290}]",,108801.0,55.563165,37.50027,5.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,17.0,21.0,1 этаж,Москва,"Бары, Разливное пиво",,108
улица Эдварда Грига,Просечечная,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'alkogolnye_napitki', 'id': '360', 'kind': 'additional', 'name': 'Алкогольные напитки', 'parent_id': '14', 'short_id': 360}, {'alias': 'bezalkogolnye_napitki', 'id': '361', 'kind': 'additional', 'name': 'Безалкогольные напитки', 'parent_id': '14', 'short_id': 361}]",,108834.0,55.556765,37.506741,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,1 этаж,Москва,"Бары, Алкогольные напитки, Безалкогольные напитки",,108
Скандинавский бульвар,Beer Garage,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,108801.0,55.566696,37.500149,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,,Москва,Бары,,108
улица Александры Монаховой,"Пивной дворик, магазин разливных напитков","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'razlivnoe_pivo', 'id': '19290', 'kind': 'primary', 'name': 'Разливное пиво', 'parent_id': '14', 'short_id': 19290}, {'alias': 'sneki', 'id': '879', 'kind': 'additional', 'name': 'Снеки', 'parent_id': '14', 'short_id': 879}]",,108826.0,55.543554,37.487018,2.6,11.0,14.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",2.6,11.0,14.0,,Москва,"Бары, Разливное пиво, Снеки",,108
Венёвская улица,"На Луне, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",,117042.0,55.550291,37.541986,2.3,48.0,69.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",2.3,48.0,69.0,3 этаж,Москва,"Бары, Караоке-залы, Доставка еды",район Ясенево,117
Венёвская улица,"Изи паб, кафе-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",1500.0,117042.0,55.54792,37.543693,4.5,88.0,98.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'rating': 4.7, 'review_count': 6, 'tag': 'flamp'}]",4.7,752.0,926.0,3 этаж,Москва,"Бары, Кафе, Доставка еды",район Ясенево,117
Адмирала Лазарева улица,"Мята Lounge Бутово, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",,117042.0,55.546755,37.543079,4.9,198.0,216.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,17391.0,22161.0,3 этаж,Москва,"Бары, Центры паровых коктейлей",район Ясенево,117
Венёвская улица,"Pasti&Asti, ресторан-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'piccerii', 'id': '51459', 'kind': 'additional', 'name': 'Пиццерии', 'parent_id': '2', 'short_id': 51459}]",1500.0,117042.0,55.548053,37.543925,4.7,43.0,46.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,43.0,46.0,1 помещение; 3 этаж,Москва,"Бары, Рестораны, Пиццерии",район Ясенево,117
улица Поляны,"The Beer, крафтовый бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,117624.0,55.553314,37.554745,4.9,16.0,23.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,54.0,1 этаж; 8 подъезд,Москва,Бары,район Ясенево,117
Южнобутовская улица,"Кампания, крафтовый бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'additional', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",600.0,117042.0,55.539185,37.53582,4.6,11.0,16.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,11.0,16.0,1 этаж,Москва,"Бары, Быстрое питание, Доставка еды",район Ясенево,117
бульвар Адмирала Ушакова,"Глостер, бар","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",1000.0,117042.0,55.548029,37.550677,3.8,8.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",3.8,8.0,13.0,1 этаж,Москва,"Бары, Доставка еды, Кафе",район Ясенево,117
микрорайон Боброво,Амадор,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}]",,,55.540261,37.612043,4.0,4.0,4.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.0,4.0,4.0,1 этаж,Москва,"Бары, Караоке-залы",,nan
