"rent, rub/month",address,city,"price_per_sqm, rub/month","square, m^2",type,url,OSM_address,address_info,district,lat,lon,nearest_metro,distance_km,distance_center_km,distance_center_m,square_category,square_category_encoding
1974996,Новослободская,Москва,7442,265,Торговая площадь,https://msk.n1.ru/view/115439505/?open_card_kn,"Новослободская, 19 ст1, Москва, Россия","{'district': 'Тверской район', 'lat': 55.7815262, 'lon': 37.5989214}",Тверской район,55.7815262,37.5989214,"Москва, Менделеевская",0.1833901665743091,3.59,3590,Большая,3
320000,Яна Райниса бульвар,Москва,9143,35,Торговая площадь,https://msk.n1.ru/view/115439504/?open_card_kn,"Яна Райниса бульвар, 2 корп. 1, Москва, Россия","{'district': 'район Южное Тушино', 'lat': 55.8504989, 'lon': 37.4120661}",район Южное Тушино,55.8504989,37.4120661,"Москва, Сходненская",1.7259010590166741,17.02,17020,Маленькая,1
1500000,Бауманская,Москва,6788,221,Торговая площадь,https://msk.n1.ru/view/115101477/?open_card_kn,"Бауманская, 11 ст1, Москва, Россия","{'district': 'Бауманка', 'lat': 55.7658231, 'lon': 37.6800055}",Бауманка,55.7658231,37.6800055,"Москва, Бауманская",0.8162217596489718,4.19,4190,Большая,3
549995,Земляной Вал,Москва,3972,138,Торговая площадь,https://msk.n1.ru/view/115439463/?open_card_kn,"Земляной Вал, 25, Москва, Россия","{'district': 'Бауманка', 'lat': 55.7598197, 'lon': 37.6582178}",Бауманка,55.7598197,37.6582178,"Москва, Курская",0.19521404466622605,2.67,2670,Большая,3
1200000,Русаковская,Москва,4149,289,Торговая площадь,https://msk.n1.ru/view/114748902/?open_card_kn,"Русаковская, 22, Москва, Россия","{'district': 'район Сокольники', 'lat': 55.7864505, 'lon': 37.6787438}",район Сокольники,55.7864505,37.6787438,"Москва, Сокольники",0.2715084549261339,5.45,5450,Большая,3
200000,Митинская,Москва,3787,52,Торговая площадь,https://msk.n1.ru/view/113281293/?open_card_kn,"Митинская, 52, Москва, Россия","{'district': 'район Митино', 'lat': 55.8526544, 'lon': 37.3541458}",район Митино,55.8526544,37.3541458,"Москва, Пятницкое шоссе",0.41170913371946594,20.05,20050,Средняя,2
200000,Эдварда Грига,Москва,2941,68,Торговая площадь,https://msk.n1.ru/view/114021361/?open_card_kn,"Эдварда Грига, 16 корп. 1, Москва, Россия","{'district': 'Скандинавия', 'lat': 55.5586425, 'lon': 37.5000735}",Скандинавия,55.5586425,37.5000735,"Москва, Новомосковская",1.9794195043490257,22.7,22700,Средняя,2
240000,Каховка,Москва,3334,72,Торговая площадь,https://msk.n1.ru/view/115785812/?open_card_kn,"Каховка, 27, Москва, Россия","{'district': 'район Зюзино', 'lat': 55.6553749, 'lon': 37.5720678}",район Зюзино,55.6553749,37.5720678,"Москва, Зюзино",0.1147730666429281,11.06,11060,Средняя,2
550000,Краснопрудная,Москва,1719,320,Торговая площадь,https://msk.n1.ru/view/113278174/?open_card_kn,"Краснопрудная, 22, Москва, Россия","{'district': 'Красносельский район', 'lat': 55.7790017, 'lon': 37.6664972}",Красносельский район,55.7790017,37.6664972,"Москва, Красносельская",0.14201379888218,4.32,4320,Крупная,4
220000,Каховка,Москва,3334,66,Торговая площадь,https://msk.n1.ru/view/115785526/?open_card_kn,"Каховка, 27, Москва, Россия","{'district': 'район Зюзино', 'lat': 55.6553749, 'lon': 37.5720678}",район Зюзино,55.6553749,37.5720678,"Москва, Зюзино",0.1147730666429281,11.06,11060,Средняя,2
523333,Каховка,Москва,3333,157,Торговая площадь,https://msk.n1.ru/view/115785484/?open_card_kn,"Каховка, 27, Москва, Россия","{'district': 'район Зюзино', 'lat': 55.6553749, 'lon': 37.5720678}",район Зюзино,55.6553749,37.5720678,"Москва, Зюзино",0.1147730666429281,11.06,11060,Большая,3
650000,Варшавское шоссе,Москва,3250,200,Торговая площадь,https://msk.n1.ru/view/115785483/?open_card_kn,"Варшавское шоссе, 168, Москва, Россия","{'district': 'район Чертаново Южное', 'lat': 55.5840582, 'lon': 37.5800824}",район Чертаново Южное,55.5840582,37.5800824,"Москва, Лесопарковая",0.29777772275315995,18.77,18770,Большая,3
350000,Долгоруковская,Москва,13461,26,Торговая площадь,https://msk.n1.ru/view/115782657/?open_card_kn,"Долгоруковская, 32, Москва, Россия","{'district': 'Тверской район', 'lat': 55.7768889, 'lon': 37.6031016}",Тверской район,55.7768889,37.6031016,"Москва, Новослободская",0.33532855591012617,3.01,3010,Маленькая,1
170000,Варшавское шоссе,Москва,11333,15,Торговая площадь,https://msk.n1.ru/view/107596051/?open_card_kn,"Варшавское шоссе, 135б, Москва, Россия","{'district': 'район Чертаново Южное', 'lat': 55.5962741, 'lon': 37.6029401}",район Чертаново Южное,55.5962741,37.6029401,"Москва, Улица Академика Янгеля",0.20402073535908108,17.28,17280,Маленькая,1
155787,Верейская,Москва,3067,50,Торговая площадь,https://msk.n1.ru/view/115782552/?open_card_kn,"Верейская, 17, Москва, Россия","{'district': 'Можайский район', 'lat': 55.7106847, 'lon': 37.4437331}",Можайский район,55.7106847,37.4437331,"Москва, Давыдково",0.677591791470213,11.87,11870,Средняя,2
212208,Ротмистрова,Москва,4583,46,Торговая площадь,https://msk.n1.ru/view/115782376/?open_card_kn,"Ротмистрова, 2 корп. 3, Москва, Россия","{'district': 'район Щукино', 'lat': 55.79125, 'lon': 37.4777253}",район Щукино,55.79125,37.4777253,"Москва, Октябрьское Поле",1.0226568980864834,9.89,9890,Маленькая,1
319998,бульвар Чкаловский,Москва,5808,55,Торговая площадь,https://msk.n1.ru/view/115782324/?open_card_kn,"бульвар Чкаловский, 6, Москва, Россия","{'district': 'район Покровское-Стрешнево', 'lat': 55.815228, 'lon': 37.4224075}",район Покровское-Стрешнево,55.815228,37.4224075,"Москва, Спартак",0.903364681409147,14.21,14210,Средняя,2
250000,Покрышкина,Москва,3090,80,Торговая площадь,https://msk.n1.ru/view/103556559/?open_card_kn,"Покрышкина, 4, Москва, Россия","{'district': 'Тропарёво-Никулино', 'lat': 55.6650952, 'lon': 37.4814919}",Тропарёво-Никулино,55.6650952,37.4814919,"Москва, Юго-Западная",0.18592631054972872,12.89,12890,Средняя,2
1524000,Звенигородская 2-я,Москва,12000,127,Торговая площадь,https://msk.n1.ru/view/110564316/?open_card_kn,"Звенигородская 2-я, 12 ст1, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.7586499, 'lon': 37.5550119}",Пресненский район,55.7586499,37.5550119,"Москва, Улица 1905 года",0.7914580835863336,4.07,4070,Большая,3
430000,Советской Армии,Москва,3970,108,Торговая площадь,https://msk.n1.ru/view/112469429/?open_card_kn,"Советской Армии, 3, Москва, Россия","{'district': 'район Марьина Роща', 'lat': 55.7845952, 'lon': 37.6152898}",район Марьина Роща,55.7845952,37.6152898,"Москва, Достоевская",0.2823606805636533,3.72,3720,Средняя,2
850000,Складочная,Москва,5414,157,Торговая площадь,https://msk.n1.ru/view/112469389/?open_card_kn,"Складочная, 1 ст48, Москва, Россия","{'district': 'район Марьина Роща', 'lat': 55.8029615, 'lon': 37.5959327}",район Марьина Роща,55.8029615,37.5959327,"Москва, Савёловская",0.9720984760103588,5.93,5930,Большая,3
240000,Андрея Тарковского бульвар,Москва,3592,66,Торговая площадь,https://msk.n1.ru/view/115773178/?open_card_kn,"Андрея Тарковского бульвар, 1, Москва, Россия","{'district': 'ЖК «Рассказово»', 'lat': 55.6254372, 'lon': 37.3463985}",ЖК «Рассказово»,55.6254372,37.3463985,"Москва, Рассказовка",1.1988585241563943,22.11,22110,Средняя,2
300000,Зеленодольская,Москва,1200,250,Торговая площадь,https://msk.n1.ru/view/115773100/?open_card_kn,"Зеленодольская, 10/14, Москва, Россия","{'district': 'Рязанский район', 'lat': 55.7149766, 'lon': 37.7867342}",Рязанский район,55.7149766,37.7867342,"Москва, Рязанский проспект",0.4633742088737924,11.32,11320,Большая,3
105000,Кронштадтский бульвар,Москва,5833,18,Торговая площадь,https://msk.n1.ru/view/115773098/?open_card_kn,"Кронштадтский бульвар, 7, Москва, Россия","{'district': 'Головинский район', 'lat': 55.8407602, 'lon': 37.4871768}",Головинский район,55.8407602,37.4871768,"Москва, Водный стадион",0.10368206846197879,12.93,12930,Маленькая,1
599997,Сущевский Вал,Москва,2112,284,Торговая площадь,https://msk.n1.ru/view/115773073/?open_card_kn,"Сущевский Вал, 16 ст1, Москва, Россия","{'district': 'район Марьина Роща', 'lat': 55.7926071, 'lon': 37.5999726}",район Марьина Роща,55.7926071,37.5999726,"Москва, Савёловская",0.6357108668087227,4.75,4750,Большая,3
1700000,Большая Садовая,Москва,6995,243,Торговая площадь,https://msk.n1.ru/view/114737632/?open_card_kn,"Большая Садовая, 6 ст2, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.7680544, 'lon': 37.5941742}",Пресненский район,55.7680544,37.5941742,"Москва, Маяковская",0.2402907286067579,2.41,2410,Большая,3
352918,Академика Королева,Москва,2917,121,Торговая площадь,https://msk.n1.ru/view/114737631/?open_card_kn,"Академика Королева, 3, Москва, Россия","{'district': 'район Марфино', 'lat': 55.8231577, 'lon': 37.5975653}",район Марфино,55.8231577,37.5975653,"Москва, Фонвизинская",0.6190329965237739,8.11,8109,Большая,3
225000,Звенигородское шоссе,Москва,14802,15,Торговая площадь,https://msk.n1.ru/view/114737511/?open_card_kn,"Звенигородское шоссе, 3а ст1, Москва, Россия","{'district': 'район Хорошёво-Мнёвники', 'lat': 55.7717237, 'lon': 37.4970071}",район Хорошёво-Мнёвники,55.7717237,37.4970071,"Москва, Народное Ополчение",0.843752910050196,7.96,7960,Маленькая,1
520000,Большая Садовая,Москва,19259,27,Торговая площадь,https://msk.n1.ru/view/114737509/?open_card_kn,"Большая Садовая, 6 ст2, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.7680544, 'lon': 37.5941742}",Пресненский район,55.7680544,37.5941742,"Москва, Маяковская",0.2402907286067579,2.41,2410,Маленькая,1
176000,Андрея Тарковского бульвар,Москва,3591,49,Торговая площадь,https://msk.n1.ru/view/115772950/?open_card_kn,"Андрея Тарковского бульвар, 1, Москва, Россия","{'district': 'ЖК «Рассказово»', 'lat': 55.6254372, 'lon': 37.3463985}",ЖК «Рассказово»,55.6254372,37.3463985,"Москва, Рассказовка",1.1988585241563943,22.11,22110,Маленькая,1
